region,side
MOp2/3,right
MOp5,left
MOp5,right
MOp6a,left
MOp6a,right
MOp6b,right
MOp6b,left
MOs1,left
MOs1,right
MOs2/3,left
MOs2/3,right
MOs5,left
MOs5,right
MOs6a,right
MOs6a,left
MOs6b,right
MOs6b,left
MPN,right
MPN,left
MPO,right
MPO,left
MPT,left
MPT,right
MRN,right
MRN,left
MS,right
MS,left
MT,left
MT,right
MV,left
MV,right
NB,left
NB,right
ND,left
ND,right
NDB,right
NDB,left
NI,left
NI,right
NLL,left
NLL,right
NLOT1,right
NLOT1,left
NLOT2,right
NLOT2,left
NLOT3,right
NLOT3,left
NOD,left
NOD,right
NOT,left
NOT,right
NPC,left
NPC,right
NR,left
NR,right
NTB,left
NTB,right
NTS,right
NTS,left
OP,right
OP,left
ORBl1,left
ORBl1,right
ORBl2/3,left
ORBl2/3,right
ORBl5,left
ORBl5,right
ORBl6a,right
ORBl6a,left
ORBl6b,left
ORBl6b,right
ORBm1,left
ORBm1,right
ORBm2/3,left
ORBm2/3,right
ORBm5,right
ORBm5,left
ORBm6a,right
ORBm6a,left
ORBm6b,left
ORBm6b,right
ORBvl1,left
ORBvl1,right
ORBvl2/3,left
ORBvl2/3,right
ORBvl5,right
ORBvl5,left
ORBvl6a,left
ORBvl6a,right
ORBvl6b,left
ORBvl6b,right
OT,right
OT,left
OV,left
OV,right
P5,left
P5,right
PA,right
PA,left
Pa4,left
Pa4,right
Pa5,right
Pa5,left
PAA,right
PAA,left
PAR,right
PAR,left
PARN,left
PARN,right
PAS,right
PAS,left
PBG,left
PBG,right
PC5,right
PC5,left
PCG,left
PCG,right
PCN,right
PCN,left
PD,left
PD,right
PDTg,left
PDTg,right
PeF,right
PeF,left
PERI1,right
PERI1,left
PERI2/3,right
PERI2/3,left
PERI5,right
PERI5,left
PERI6a,left
PERI6a,right
PERI6b,right
PERI6b,left
PF,left
PF,right
PFL,right
PFL,left
PG,left
PG,right
PGRNd,left
PGRNd,right
PGRNl,left
PGRNl,right
PH,left
PH,right
PIL,right
PIL,left
PIR,right
PIR,left
PL1,left
PL1,right
PL2/3,left
PL2/3,right
PL5,left
PL5,right
PL6a,right
PL6a,left
PL6b,left
PL6b,right
PMd,left
PMd,right
PMv,left
PMv,right
PN,left
PN,right
PO,right
PO,left
POL,left
POL,right
POR,left
POR,right
POST,right
POST,left
PoT,right
PoT,left
PP,right
PP,left
PPN,left
PPN,right
PPT,left
PPT,right
PPY,left
