region,side
TR,right
TRN,left
TRN,right
TRS,left
TRS,right
TT,left
TT,right
TU,left
TU,right
UVU,left
UVU,right
V,left
V,right
VAL,left
VAL,right
VCO,left
VCO,right
VI,left
VI,right
VII,left
VII,right
VISC,left
VISC,right
VISa,left
VISa,right
VISal,left
VISal,right
VISam,left
VISam,right
VISl,left
VISl,right
VISli,left
VISli,right
VISp,left
VISp,right
VISpl,left
VISpl,right
VISpm,left
VISpm,right
VISpor,left
VISpor,right
VISrl,left
VISrl,right
VLPO,left
VLPO,right
VM,left
VM,right
VMH,left
VMH,right
VMPO,left
VMPO,right
VP,left
VP,right
VPL,left
VPL,right
VPM,left
VPM,right
VTA,left
VTA,right
VTN,left
VTN,right
VeCB,left
VeCB,right
XII,left
XII,right
Xi,left
Xi,right
x,left
x,right
y,left
y,right
